ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Source,Source_Comment,Grammaticality_Judgement
gug_ex_01,gug,Peteĩ kuña kane’õ okaru kotýpe.,peteĩ	kuña	kane’õ	o-karu	koty=pe,one	woman	tired	3.ACT-eat	room=in,A tired woman is eating in the room.,,,,"Dionisio Fleitas Lecoski, p.c.",
gug_ex_02,gug,*Peteĩ kane’õ kuña okaru kotýpe.,*peteĩ	kane’õ	kuña	o-karu	koty=pe,one	tired	woman	3.ACT-eat	room=in,A tired woman is eating in the room.,,,,"Dionisio Fleitas Lecoski, p.c.",*
gug_ex_03,gug,*Peteĩ kuña kane’õ omba’apógui okaru kotýpe.,*peteĩ	kuña	kane’õ	o-mba’apo=gui	o-karu	koty=pe,one	woman	tired	3.ACT-work=from	3.ACT-eat	room=in,A woman tired of work is eating in the room.,,,,"Dionisio Fleitas Lecoski, p.c.",*
gug_ex_04,gug,Ko kuña ikane’õ omba’apógui.,ko	kuña	i-kane’õ	o-mba’apo=gui,PROX.SG	woman	3.INACT-tired	3.ACT-work=from,This woman is tired of work.,,,,"Dionisio Fleitas Lecoski, p.c.",
gug_ex_05,gug,Ko kuña omba’apógui ikane’õ.,ko	kuña	o-mba’apo=gui	i-kane’õ,PROX.SG	woman	3.ACT-work=from	3.INACT-tired,This woman is tired of work.,,,,"Dionisio Fleitas Lecoski, p.c.",
gug_ex_06,gug,*Ko kuña kane’õ.,*ko	kuña	kane’õ,PROX.SG	woman	tired,This woman is tired.,,"Ungrammatical as a sentence, not as a noun phrase.",,"Dionisio Fleitas Lecoski, p.c.",*
gug_ex_07,gug,Peteĩ kuña ikane’õva okaru kotýpe.,peteĩ	kuña	i-kane’õ-va	o-karu	koty=pe,one	woman	3.INACT-tired-ADJLZ	3.ACT-eat	room=in,A tired woman is eating in the room.,,,,"Dionisio Fleitas Lecoski, p.c.",
gug_ex_08,gug,Peteĩ ikane’õva kuña okaru kotýpe.,peteĩ	i-kane’õ	kuña	o-karu	koty=pe,one	3-INACT-tired-ADJLZ	woman	3.ACT-eat	room=in,A tired woman is eating in the room.,,,,"Dionisio Fleitas Lecoski, p.c.",
gug_ex_09,gug,Peteĩ kuña ikane’õva omba’apógui okaru kotýpe.,peteĩ	kuña	ikane’õ-va	o-mba’apo=gui	o-karu	koty=pe,one	woman	3.INACT-tired-ADJLZ	3.ACT-work=from	3.ACT-eat	room=in,A woman tired of work is eating in the room.,,,,"Dionisio Fleitas Lecoski, p.c.",
gug_ex_10,gug,Peteĩ kuña omba’apógui ikane’õva okaru kotýpe.,peteĩ	kuña	o-mba’apo=gui	ikane’õ-va	o-karu	koty=pe,one	woman	3.ACT-work=from	3.INACT-tired-ADJLZ	3.ACT-eat	room=in,A woman tired of work is eating in the room.,,,,"Dionisio Fleitas Lecoski, p.c.",
gug_ex_11,gug,*Peteĩ ikane’õva omba’apógui kuña okaru kotýpe.,*peteĩ	i-kane’õ-va	o-mba’apo=gui	kuña	o-karu	koty=pe,one	3.INACT-tired-ADJLZ	3.ACT-work=from	woman	3.ACT-eat	room=in,A woman tired of work is eating in the room.,,,,"Dionisio Fleitas Lecoski, p.c.",*
