ID,Language,Value,Comment
isl_A_attr,isl,yes, 
isl_A_N,isl,yes, 
isl_N_A,isl,yes,
isl_AP_N,isl,yes, 
isl_A_XP_N,isl,no,
isl_XP_A_N,isl,yes,
isl_A_N_XP,isl,no,
isl_N_AP,isl,yes,
isl_N_A_XP,isl,yes,
isl_N_XP_A,isl,yes,
isl_XP_N_A,isl,,
isl_A_lnk,isl,no?, 
isl_A_pred,isl,yes, 
isl_AP,isl,yes,
isl_A_XP,isl,,
isl_A_attr_agr,isl,, 
isl_A_pred_agr,isl,,
,,,
isl_V_attr,isl,,
isl_V_N,isl,,
isl_N_V,isl,,
isl_VP_N,isl,,
isl_V_XP_N,isl,,
isl_XP_V_N,isl,,
isl_V_N_XP,isl,,
isl_N_VP,isl,yes,
isl_N_V_XP,isl,,
isl_N_XP_V,isl,,
isl_XP_N_V,isl,,
isl_V_lnk,isl,, 
isl_V_pred,isl,,
isl_VP,isl,,	
isl_V_XP,isl,,		
isl_XP_V,isl,,
isl_V_attr_agr,isl,,
isl_V_pred_agr,isl,,
,,,
isl_PP_attr,isl,, 
isl_PrepP,isl,,		
isl_PostP,isl,,
isl_PrepP_N,isl,,		
isl_N_PrepP,isl,,
isl_PostP_N,isl,, 
isl_N_PostP,isl,,
isl_P_lnk,isl,,
isl_PP_agr,isl,,
,,,
isl_M_M_N,isl, , 
isl_N_M_M,isl,,
isl_M_N_M,isl,,
,,,
,QUESTIONS ABOUT DEGREE MODIFIERS?,yes,

