ID,Name,Leipzig Glossing Rules
A,agent-like argument of canonical transitive verb,yes
ABL,ablative,yes  
ABS,absolutive,yes 
ABSNT,absent,
ACC,accusative,yes  
ACT,active,
ACTR,actor,
ADJ,adjective,yes  
ADJLZ,adjectivalizer,
ADV,adverb(ial),yes  
AGR,agreement,yes 
ALL,allative,yes 
ANIM,animate,
ANTIP,antipassive,yes
APPL,applicative,yes
ART,article,yes  
AUX,auxiliary,yes  
BEN,benefactive,yes 
CAUS,causative,yes  
CIS,cislocative ('hither'),
CLF,classifier,yes 
CNS,conjunctive subject,
COM,comitative,yes 
COMP,complementizer,yes
COMPL,completive,yes 
COND,conditional,yes  
COP,copula,yes
CR,consonant reduplication,
CVB,converb,yes  
DAT,dative,yes 
DECL,declarative,yes
DEF,definite,yes
DEM,demonstrative,yes  
DET,determiner,yes  
DIR,directive,
DIRTR,directive (full control) transitivizer,
DIST,distal,yes
DISTR,distributive,yes 
DPT,dependent clause marker,
DU,dual,yes  
DUR,durative,yes  
DYN,dynamic,
EP,epenthesis,
ERG,ergative,yes 
EXCL,exclusive,yes  
EXIS,existential,
F,feminine,yes  
FIN,finite,
FOC,focus,yes  
FUT,future,yes  
GEN,genitive,yes  
HAB,habitual,
IMP,imperative,yes 
INACT,inactive,
INAN,inanimate,
INCL,inclusive,yes  
IND,indicative,yes 
INDF,indefinite,yes 
INDTR,indirective transitivizer,
INF,infinitive,yes 
INS,instrumental,yes
INTR,intransitive,yes 
IPFV,imperfective,yes 
IRR,irrealis,yes
LA,locative argument,
LOC,locative,yes 
LP,locative prefix,
M,masculine,yes 
N,neuter,yes
NEG,negation/negative,yes
NFIN,non-finite,
NHUM,non-human,
NMLZ,nominalizer/nominalization,yes 
NOM,nominative,yes  
NPST,non-past,
NTS,non-topical subject,
O,object,
OBJ,object,yes 
OBL,oblique,yes
OBV,obviative,
P,patient-like argument of canonical transitive verb,yes
PASS,passive,yes 
PFV,perfective,yes  
PL,plural,yes
POSS,possessive,yes  
POSSM,possessed form of relational roots,
PRED,predicative,yes 
PRF,perfect,yes
PRO,pronoun,
PROG,progressive,yes 
PROH,prohibitive,yes
PROX,proximal/proximate,yes
PRS,present,yes 
PST,past,yes 
PTCP,participle,yes  
PURP,purposive,yes
Q,question particle/marker,yes 
QUOT,quotative,yes
RECP,reciprocal,yes
REFL,reflexive,yes
REL,relative,yes 
RELTR,relational (applicative) transitivizer,
REM,remote,
RES,resultative,yes 
S,subject,yes (changed from 'single argument of canonical intransitive verb')
SBJ,subject,yes
SBJV,subjunctive,yes 
SG,singular,yes
SGV,singulative,
SPAT,spatial,
STAT,stative,
TAM,tense/aspect/mood,
TOP,topic,yes 
TR,transitive,yes
UNDR,undergoer,
VOC,vocative,yes
YNQ,yes-no question,
