ID,Language,Value,Comment
abk_A_mod,abk,no,
abk_A_N,abk,,
abk_N_A,abk,,
abk_AP_N,abk,,
abk_A_XP_N,abk,,
abk_XP_A_N,abk,,
abk_N_AP,abk,,
abk_N_A_XP,abk,,
abk_N_XP_A,abk,,
abk_A_attr,abk,,
abk_A_attr_obl,abk,,
abk_A_attr_pos,abk,,
abk_A_pred,abk,,
abk_A_dep,abk,,
abk_A_XP,abk,,
abk_XP_A,abk,,
,,,
abk_V_mod,abk,yes,stative verbs? affix -w?
abk_V_N,abk,yes,
abk_N_V,abk,yes,
abk_VP_N,abk,yes,
abk_V_XP_N,abk,no, 
abk_XP_V_N,abk,yes,
abk_N_VP,abk,yes,
abk_N_V_XP,abk,no,
abk_N_XP_V,abk,yes,
abk_V_attr,abk,?,
abk_V_attr_obl,abk,?,
abk_V_attr_pos,abk,?,
abk_V_pred,abk,yes,
abk_V_dep,abk,yes,	
abk_V_XP,abk,yes,		
abk_XP_V,abk,yes,
,,,
abk_C_mod,abk,yes,
abk_C_N,abk,yes,
abk_N_C,abk,yes,
abk_C_attr,abk,yes(?),
abk_C_attr_obl,abk,yes(?),
abk_C_attr_pos,abk,?,
,,,
abk_P_mod,abk,yes,
abk_Prep,abk,?,		
abk_Post,abk,yes,		
abk_Prep_N,abk,?,		
abk_N_Prep,abk,?,		
abk_Post_N,abk,yes, 
abk_N_Post,abk,yes,
abk_P_attr,abk,?,
abk_P_attr_obl,abk,,
abk_P_attr_pos,abk,,
