ID,Language,Value,Comment
ceg_A_attr,ceg,yes,
ceg_A_N,ceg,no,
ceg_N_A,ceg,yes,
ceg_AP_N,ceg,/,
ceg_A_XP_N,ceg,/,
ceg_XP_A_N,ceg,/,
ceg_N_AP,ceg,yes,
ceg_N_A_XP,ceg,yes,
ceg_N_XP_A,ceg,no,
ceg_A_Ink,ceg,yes?, subordinator uje in relative?
ceg_A_Ink_obl,ceg,no?, uje can be omitted
ceg_A_pred,ceg,yes, 
ceg_AP,ceg,yes,
ceg_A_XP,ceg,yes,
ceg_XP_A,ceg,yes?,adjective can be found as possessor or possessed within a possessive NP?
,,,
ceg_V_attr,ceg,yes,
ceg_V_N,ceg,no,
ceg_N_V,ceg,yes,
ceg_VP_N,ceg,/,
ceg_V_XP_N,ceg,/,
ceg_XP_V_N,ceg,/,
ceg_N_VP,ceg,yes,
ceg_N_V_XP,ceg,yes,
ceg_N_XP_V,ceg,no?,
ceg_V_Ink,ceg,yes?, subordinator uje in relative?
ceg_V_Ink_obl,ceg,no?, 
ceg_V_pred,ceg,,
ceg_VP,ceg,,	
ceg_V_XP,ceg,,		
ceg_XP_V,ceg,,
,,,
ceg_P_attr,ceg,yes,
ceg_Prep,ceg,yes,		
ceg_Post,ceg,yes?,		
ceg_Prep_N,ceg,no,		
ceg_N_Prep,ceg,yes,		
ceg_Post_N,ceg,no, 
ceg_N_Post,ceg,yes?,
ceg_P_Ink,ceg,no?,
ceg_P_Ink_obl,ceg,/,
,,,
,STACKING POSSIBLE?,yes,
,LNK REPEATED WITH STACKING?,no,
,QUESTIONS ABOUT DEGREE MODIFIERS?,yes,
,QUESTIONS ABOUT FEATURE MARKING?,yes,Adjectival modifiers usually agree with the head.
