ID,Language,Parameter,Original,Morphemic,Gloss,Translation,Source,Comment
cym_ex_01,cym,cym_A_attr cym_N_A,,y tair cath ddu,the three.F cat black,the three black cats,"(Borsley et al._2007, p. 152, ex.2)",
cym_ex_02,cym,cym_A_attr cym_N_A cym_N_AP cym_N_A_XP,,Mae Paris yn ddinas newydd i mi.,be.PRES.3S Paris PRED city new to me,Paris is a new-to-me city.,"David Willis, p.c.",
cym_ex_03,cym,cym_A_attr cym_N_A cym_N_AP cym_N_XP_A,,*dinas i mi newydd,city to me to me,Intended:'a new-to-me city',"David Willis, p.c.",
cym_ex_04,cym,cym_A_attr cym_N_A cym_N_AP cym_N_A_XP,,Mae Iwan yn ddyn hoff iawn o siocled.,be.PRES.3S Iwan PRED man fond very of chocolate,Iwan a very fond-of-chocolate man.,"David Willis, p.c.",
cym_ex_05,cym,cym_A_attr cym_N_A cym_N_AP cym_N_XP_A,,*dyn o siocled hoff,man of chocolate fond,Intended:'a fond-of-chocolate man',"David Willis, p.c.",
cym_ex_06,cym,cym_A_attr cym_A_N cym_AP_N cym_A_N_XP,,hen ffrind i mi,old friend to me,an old friend to me,"David Willis, p.c.","Such examples raise ambiguity regarding whether XP is the complement of N or the complement of A."
cym_ex_07,cym,cym_A_attr ?,,*ffrind hen i mi,friend old to me,Intended:'an old-to-me friend',"David Willis, p.c.",
cym_ex_08,cym,cym_A_attr cym_A_N cym_AP_N cym_A_XP_N,,*hen i mi lyri,old to me book,Intended:'an old-to-me book',"David Willis, p.c.",
cym_ex_09,cym,cym_A_attr cym_A_N cym_AP_N cym_XP_A_N,,*i mi hen lyri,to me old book,Intended:'an old-to-me book',"David Willis, p.c.",
cym_ex_10,cym,cym_A_pred cym_AP cym_A_XP,,Mae ’r wefan yn [llawn o gyngor da].,be.PRES.3S the website PRED full of advice good,The website is full of good advice.,"(Borsley et al._2007, p. 8, ex.7)",
cym_ex_11,cym,cym_A_pred cym_AP cym_XP_A,,*Mae ’r wefan yn [gyngor da llawn o],be.PRES.3S the website PRED advice good full of,Intended:'The website is full of good advice.',"David Willis, p.c.",
cym_ex_12,cym,cym_A_attr cym_N_A cym_N_M_M,,adeilad mawr gwag arall,building big empty other,another big empty building,"(Borsley et al._2007, p. 180, ex.104)",
,,,,,,,,
cym_ex_13,cym,cym_V_attr cym_N_V cym_N_V_XP cym_V_attr_agr,,y dyn gafodd y wobr,the man get.PST.3S the prize,the man who got the prize,"(Borsley et al._2007, p. 118, ex.54)",
cym_ex_14,cym,cym_V_attr cym_N_V cym_N_V_XP cym_V_attr_agr,,y ffrwydrad glywais i wedyn,the explosion hear.PAST.1S I then,the explosion that I heard then,"(Borsley et al._2007, p. 119, ex.55)",
,,,,,,,,
cym_ex_15,cym,cym_PP_attr cym_PrepP cym_N_PrepP,,Mae ’n ymddangos [bod llawer o dai yn y pentre ’n hen].,be.PRES.3S PROG appear.INF be.INF many of houses in the village PRED old,It appears that many houses in the village are old.,"(Borsley et al._2007, p. 13, ex.26)",
cym_ex_16,cym,cym_PP_attr cym_PrepP cym_N_PrepP,,ei syniad hi o ’i hunan,3FS idea she of 3FS REFL,her idea of herself,"(Borsley et al._2007, p. 221, ex.70)",
