ID,Language,Value,Comment
git_A_mod,git,yes,
git_A_N,git,yes,
git_N_A,git,,
git_AP_N,git,,
git_A_XP_N,git,,
git_XP_A_N,git,,
git_N_AP,git,,
git_N_A_XP,git,,
git_N_XP_A,git,,
git_A_attr,git,,
git_A_attr_obl,git,,
git_A_attr_pos,git,,
git_A_pred,git,yes,
git_A_dep,git,,
git_A_XP,git,,
git_XP_A,git,,
,,,
git_V_mod,git,,
git_V_N,git,,
git_N_V,git,,
git_VP_N,git,,
git_V_XP_N,git,,
git_XP_V_N,git,,
git_N_VP,git,,
git_N_V_XP,git,,
git_N_XP_V,git,,
git_V_attr,git,,
git_V_attr_obl,git,,
git_V_attr_pos,git,,
git_V_pred,git,,
git_V_dep,git,,	
git_V_XP,git,,		
git_XP_V,git,,
,,,
git_C_mod,git,,
git_C_N,git,,
git_N_C,git,,
git_C_attr,git,,
git_C_attr_obl,git,,
git_C_attr_pos,git,,
,,,
git_P_mod,git,,
git_Prep,git,,		
git_Post,git,,		
git_Prep_N,git,,		
git_N_Prep,git,,		
git_Post_N,git,, 
git_N_Post,git,,
git_P_attr,git,,
git_P_attr_obl,git,,
git_P_attr_pos,git,,
,,,
,STACKING?,,

