ID,Language,Parameter,Original,Morphemic,Gloss,Translation,Source,Comment
gug_ex_01,gug,gug_A_pred,Ko kuña ikane’õ. ,ko kuña i-kane’õ,PROX.SG woman 3.INACT-tired,This woman is tired.,"(Dionisio Fleitas Lecoski, p.c.)","No clear morphological class of adjectives: roots can be used as nouns, verbs, or adjectives (Estigarribia 2020: 87). To function as independent predicates, roots must take verbal personal markers (prefixes)."
gug_ex_02,gug,gug_A_pred,*Ko kuña kane’õ.,*ko kuña kane’õ,PROX.SG woman tired,Intended: ‘This woman is tired.’,"(Dionisio Fleitas Lecoski, p.c.)","Bare roots cannot function as independent predicates. However, this is ungrammatical only as a sentence, not as a DP."
gug_ex_03,gug,gug_V_pred,*Ko kuña ikane’õva.,*ko kuña i-kane’õ-va,PROX.SG woman 3.INACT-tired-ADJLZ,Intended: ‘This woman is tired.’,"(Dionisio Fleitas Lecoski, p.c.)","Forms with the suffix -va (adjectivizer/relativizer) cannot be used predicatively. However, this is ungrammatical only as a sentence, not as a DP. "
gug_ex_04,gug,gug_A_XP,Ko kuña ikane’õ omba’apógui.,ko kuña i-kane’õ o-mba’apo=gui ,PROX.SG woman 3.INACT-tired 3.ACT-work=from,This woman is tired of work.,"(Dionisio Fleitas Lecoski, p.c.)","The word order with the dependent following the “adjective” (root with a verbal personal marker) seems to be the neutral/more natural one, but the alternative word order is possible as well. "
gug_ex_05,gug,gug_XP_A,Ko kuña omba’apógui ikane’õ.,ko kuña o-mba’apo=gui i-kane’õ,PROX.SG woman 3.ACT-work=from 3.INACT-tired ,This woman is tired of work.,"(Dionisio Fleitas Lecoski, p.c.)","The word order with the dependent following the “adjective” (root with a verbal personal marker) seems to be the neutral/more natural one, but the alternative word order is possible as well. "
gug_ex_06,gug,gug_N_A,Peteĩ kuña kane’õ okaru kotýpe.,peteĩ kuña kane’õ o-karu koty=pe,one woman tired 3.ACT-eat room=in,A tired woman is eating in the room.,"(Dionisio Fleitas Lecoski, p.c.)","Attributive modifiers can be bare roots or forms with the adjectivizer/relativizer -va, and they are normally placed postnominally."
gug_ex_07,gug,gug_N_V,Peteĩ kuña ikane’õva okaru kotýpe.,peteĩ kuña i-kane’õ-va o-karu koty=pe,one woman 3.INACT-tired-ADJLZ 3.ACT-eat room=in,A tired woman is eating in the room.,"(Dionisio Fleitas Lecoski, p.c.)","Attributive modifiers can be bare roots or forms with the adjectivizer/relativizer -va, and they are normally placed postnominally."
gug_ex_08,gug,gug_A_N,*Peteĩ kane’õva kuña okaru kotýpe.,*peteĩ kane’õ kuña o-karu koty=pe,one tired woman 3.ACT-eat room=in,Intended: ‘A tired woman is eating in the room.’,"(Dionisio Fleitas Lecoski, p.c.)","Bare roots as modifiers can only be postnominal, while -va forms can also occur prenominally."
gug_ex_09,gug,gug_V_N,Peteĩ ikane’õva kuña okaru kotýpe.,peteĩ i-kane’õ kuña o-karu koty=pe,one 3-INACT-tired-ADJLZ woman 3.ACT-eat room=in,A tired woman is eating in the room.,"(Dionisio Fleitas Lecoski, p.c.)","Bare roots as modifiers can only be postnominal, while -va forms can also occur prenominally."
gug_ex_10,gug,gug_N_AP,*Peteĩ kuña kane’õ omba’apógui okaru kotýpe.,*peteĩ kuña kane’õ o-mba’apo=gui o-karu koty=pe,one woman tired 3.ACT-work=from 3.ACT-eat room=in,Intended: ‘A woman tired of work is eating in the room.’,"(Dionisio Fleitas Lecoski, p.c.)",Bare roots used as modifiers cannot take dependents.
gug_ex_11,gug,gug_N_V_XP,Peteĩ kuña ikane’õva omba’apógui okaru kotýpe.,peteĩ kuña ikane’õ-va o-mba’apo=gui o-karu koty=pe,one woman 3.INACT-tired-ADJLZ 3.ACT-work=from 3.ACT-eat room=in,A woman tired of work is eating in the room.,"(Dionisio Fleitas Lecoski, p.c.)",The prenominal placement of a complex AP/RC is not possible independently of the linear position of the dependent.
gug_ex_12,gug,gug_N_XP_V,Peteĩ kuña omba’apógui ikane’õva okaru kotýpe.,peteĩ kuña o-mba’apo=gui ikane’õ-va  o-karu koty=pe,one woman 3.ACT-work=from 3.INACT-tired-ADJLZ 3.ACT-eat room=in,A woman tired of work is eating in the room.,"(Dionisio Fleitas Lecoski, p.c.)",The prenominal placement of a complex AP/RC is not possible independently of the linear position of the dependent.
gug_ex_13,gug,gug_V_XP_N（？）,*Peteĩ ikane’õva omba’apógui kuña okaru kotýpe.,*peteĩ i-kane’õ-va o-mba’apo=gui kuña o-karu koty=pe,one 3.INACT-tired-ADJLZ 3.ACT-work=from woman 3.ACT-eat room=in,Intended: ‘A woman tired of work is eating in the room.’,"(Dionisio Fleitas Lecoski, p.c.)",The prenominal placement of a complex AP/RC is not possible independently of the linear position of the dependent.
gug_ex_14,gug,gug_XP_V_N（？）,*Peteĩ omba’apógui ikane’õva kuña okaru kotýpe.,*peteĩ o-mba’apo=gui i-kane’õ-va kuña o-karu koty=pe,one 3.ACT-work=from 3.INACT-tired-ADJLZ woman 3.ACT-eat room=in,Intended: ‘A woman tired of work is eating in the room.’,"(Dionisio Fleitas Lecoski, p.c.)",The prenominal placement of a complex AP/RC is not possible independently of the linear position of the dependent
gug_ex_15,gug,gug_,Pe kyse mesa’arigua ipotĩ.,pe kyse mesa=’ári=gua i-potĩ,MED.SG knife table=upon=from 3.INACT-clean,The knife (that is) on the table is clean, "(Estigarribia_2020, p.267)",”The postnominal placement of adnominal PPs appears to be the neutral/more natural one. Such PPs are often introduced with an additional enclitic =gua.” 
gug_ex_16,gug,gug_,Pe mesa’arigua kyse ipotĩ.,pe mesa=’ári=gua kyse i-potĩ,MED.SG table=upon=from knife 3.INACT-clean,The knife (that is) on the table is clean.,,The postnominal placement of adnominal PPs is also possible in this example.
gug_ex_16,gug,gug_,Ohecha peteĩ kóche avave’ỹre.,o-h-echa peteĩ kóche avave=’ỹre,3.ACT-POSS.3-see one car nobody=without,S/he saw a car without passengers / anyone inside.,,"possm.3 = possessed form of relational roots (for third-person pronominal possessor."
gug_ex_17,gug,gug_,**Ohecha peteĩ avave’ỹre kóche.,*o-h-echa peteĩ avave=’ỹre kóche,3.ACT-POSS.3-see one nobody=without car,Intended: ‘S/he saw a car without passengers / anyone inside.’,,"In this example, prenominal placement of PPs is not possible. But it remains (an open question is if this correlates with the presence/absence of =gua."
