ID,Language,Value,Comment
hae_A_mod,hae,yes,
hae_A_N,hae,no,
hae_N_A,hae,yes,
hae_AP_N,hae,/,
hae_A_XP_N,hae,/,
hae_XP_A_N,hae,/,
hae_N_AP,hae,?,
hae_N_A_XP,hae,no,
hae_N_XP_A,hae,no,
hae_A_attr,hae,,
hae_A_attr_obl,hae,,
hae_A_attr_pos,hae,,
hae_A_pred,hae,yes,
hae_A_dep,hae,yes,
hae_A_XP,hae,yes?,but only acceptable in certain senses/meanings
hae_XP_A,hae,yes,
,,,
hae_V_mod,hae,yes,
hae_V_N,hae,yes?,but only acceptable in certain senses/meanings
hae_N_V,hae,yes,
hae_VP_N,hae,no(?),
hae_V_XP_N,hae,no,
hae_XP_V_N,hae,no,
hae_N_VP,hae,yes,
hae_N_V_XP,hae,no,"Oromo is a strictly verb-final language (Owens_1985, p.128)."
hae_N_XP_V,hae,yes,
hae_V_attr,hae,,
hae_V_attr_obl,hae,,
hae_V_attr_pos,hae,,
hae_V_pred,hae,yes,
hae_V_dep,hae,yes,	
hae_V_XP,hae,no,		
hae_XP_V,hae,yes,
,,,
hae_C_mod,hae,,
hae_C_N,hae,,
hae_N_C,hae,,
hae_C_attr,hae,,
hae_C_attr_obl,hae,,
hae_C_attr_pos,hae,,
,,,
hae_P_mod,hae,yes,
hae_Prep,hae,no,		
hae_Post,hae,yes,		
hae_Prep_N,hae,/,		
hae_N_Prep,hae,/,		
hae_Post_N,hae,no, 
hae_N_Post,hae,yes,
hae_P_attr,hae,genetive marker on the postposition,
hae_P_attr_obl,hae,yes,
hae_P_attr_pos,hae,on the postposition,
