ID,Language,Parameter,Original,Morphemic,Gloss,Translation,Source,Comment
hye_ex_01,hye,hye_A,,im kardac’-ac girk’-ě šat hetak’rk’ir ēr.,my read-PTCP.RES book.NOM-the INS interesting 3SG.COP.PST,The book I have read was very interesting.,"Dum-Tragut_2009[p. 210, ex. 414]",
hye_ex_02,hye,hye_A,,Ani-n barkac’-ac ē ir ełb-or vra.,Ani.NOM-DEF get_angry-PTCP.RES 3SG.COP her brother-DAT POST,Ani is angry with her brother.,"Dum-Tragut_2009[p. 180, ex. 345]",
hye_ex_03,hye,hye_A,,(Na) hpart ē ir tłay-ov.,3SG proud 3SG.COP REFL.3SG.GEN boy-INS,S/he is proud of his/her son.,"Hasmik Sargsian, p.c.","information-structurally neutral word order. ē is a kind of focus marker and the element preceding it is focused."
hye_ex_04,hye,hye_A,,(Na) ē ir tłay-ov hpart.,3SG 3SG.COP REFL.3SG.GEN boy-INS proud,S/he is proud of his/her son.,"Hasmik Sargsian, p.c.","constrative focus on [s/he]"
hye_ex_05,hye,hye_A_N,,ančor˚ni čutik-n sirun karap kdar˚n-a.,unsightly chick.NOM-the pretty swan.NOM become-COND.FUT.3SG,The ugly duckling will turn into a beautiful swan.,"Dum-Tragut_2009[p. 586, ex. 781]",
hye_ex_06,hye,hye_A,,(Na) ē hpart ir tłay-ov.,3SG 3SG.COP proud REFL.3SG.GEN boy-INS proud,S/he is proud of his/her son.,"Hasmik Sargsian, p.c.","constrative focus on [s/he]"
hye_ex_07,hye,hye_XP_A_N,,ir tłay-ov hpart (mi) hayr,REFL.3SG.GEN boy-INS proud (one/INDEF) father,a father proud of his son,"Hasmik Sargsian, p.c.",
hye_ex_08,hye,hye_XP_A_N,,ir tłay-ov hpart hayr-ə,REFL.3SG.GEN boy-INS proud father-DEF,the father proud of his son,"Hasmik Sargsian, p.c.",
hye_ex_09,hye,hye_A_XP_N,,*hpart ir tłay-ov hayr(-ə),proud 3SG.GEN boy-INS proud father,a/the father proud of his son,"Hasmik Sargsian, p.c.","maybe possible appositively with comma intonation: Proud of his son, the father ..."
hye_ex_10,hye,hye_A_N_XP,,*hpart hayr(-ə) ir tłay-ov,proud father(-DEF) REFL.3SG.GEN boy-INS,the/a father proud of his son,"Hasmik Sargsian p.c.",
hye_ex_11,hye,hye_XP_N_A,,ir tłay-ov hayr *(mi) hpart,REFL.3SG.GEN boy-INS father one/INDEF proud,a father proud of his son,"Hasmik Sargsian, p.c.","poetic use with ‘mi’ after the noun"
hye_ex_12,hye,hye_XP_N_A,,ir tłay-ov *(mi) hayr hpart,REFL.3SG.GEN one/INDEF boy-INS father proud,a father proud of his son,"Hasmik Sargsian, p.c.","poetic use or appositive with ‘mi’ before the noun"
