ID,Language,Parameter,Original,Morphemic,Gloss,Translation,Source,Comment
,A(N)/ suffix for adjectival meaning,,,,,,,
kal_ex_01,kal,kal_A_attr kal_N_A,computeri nutaaq,computeri nutaaq,computer new,a/the new computer,"(Kahn & Valijärvi_2022, p.123)",
kal_ex_02,kal,kal_A_attr kal_N_A,angut utoqqaq,angut utoqqaq,man old,an old man,"example adopted from Kahn & Valijärvi (2022, p.180)",
kal_ex_03,kal,kal_A_attr kal_N_A kal_A_attr_agr,nammillirsunut allanut naliqqiullugu sukkasuumik,nammillirsu-nut alla-nut naliqqiul-lugu sukkasuumik,competitor-ALL.PL other-ALL.PL compare-(REFL-)3SG.CONT fast,fast compared to the other competitors,"(Fortescue_1984, p. 106)","The case and number of the modifier matches that of the associated noun (Kahn & Valijärvi_2022, p.123)."
kal_ex_04,kal,kal_A_attr,Qatanngutiga illorsuaqarpoq.,qatannguti-ga illo-rsua-qar-poq,sibling-1SG house-big-have-3SG,My sibling has a big house.,"(Kahn & Valijärvi_2022, p.127)","There are also suffixes with a specific adjectival meaning which can be added to nominal stems, forming a new noun with a meaning equivalent to an English adjective-noun phrase (Kahn & Valijärvi_2022, p.127). Suffix -(r)suaq: big."
,V-IP/RC?,,,,,,,
kal_ex_05,kal,kal_V_attr kal_N_V,nerrivik mikisoq,nerrivik miki-soq,table be.small-INTR.PTCP,a/the small table,"(Kahn & Valijärvi_2022, p.122)","The modifying intransitive participle is formed by adding the suffix +toq or +soq to a verbal stem (Kahn & Valijärvi_2022, p.119)."
kal_ex_06,kal,kal_V_attr kal_N_V,issiaviit angisuut,issiavi-it angi-suu-t,chair-PL be.big-very-PL,big chairs,"(Kahn & Valijärvi_2022, p.123)",
kal_ex_07,kal,kal_V_attr kal_N_V kal_V_attr_agr,karsimi qernertumi,karsi-mi qerner-tu-mi,box-LOC be.black-INTR.PTCP-LOC,in a/the black box,"(Kahn & Valijärvi_2022, p.124)",
kal_ex_08,kal,kal_V_attr kal_N_V,Ivalu arnaavoq silatooq.,ivalu arna-a-voq silatooq,ivalu woman-be-3SG clever,Ivalu is a clever woman.,"(Kahn & Valijärvi_2022, p.125)","If an incorporated predicative is accompanied by a modifier, the modifier follows the incorporated predicative and appears in the absolutive case. See section 14.2.1 in Kahn & Valijärvi (2022) for more discussion."
kal_ex_09,kal,kal_V_attr,Qernertumik kaffisorpugut.,qerner-tu-mik kaffi-sor-pugut,be.black-INTR.PTCP-INS coffee-consume-1PL,We are drinking black coffee.,"(Kahn & Valijärvi_2022, p.125)","If an incorporated direct object is accompanied by a modifier,the modifier appears in the instrumental case. The modifier can precede or (optionally) follow the noun. See section 14.2.1 in Kahn & Valijärvi (2022) for more discussion."
kal_ex_10,kal,kal_V_attr,Minik moderniusumik inissiaqarpoq.,minik moderniusu-mik inissia-qar-poq,minik modern-INS flat-have-3SG,Minik has a modern flat.,"(Kahn & Valijärvi_2022, p.125)","If an incorporated direct object is accompanied by a modifier,the modifier appears in the instrumental case. The modifier can precede or (optionally) follow the noun. See section 14.2.1 in Kahn & Valijärvi (2022) for more discussion."
kal_ex_11,kal,kal_V_attr kal_N_V,Anaanaga igaffimmi erruisoq ikiulaassavara.,anaana-ga igaffim-mi errui-soq ikiu-laa-ssa-vara,mother-1SG kitchen-LOC wash.up-INTR.PTCP help-a.little.bit-FUT-3SG>3SG,"I’m just going to help my mother, who is washing up in the kitchen.","(Kahn & Valijärvi_2022, p.330)",
kal_ex_12,kal,kal_V_attr kal_N_V,neqi siataq,neqi sia-taq,meat fry-PASS.PTCP,meat that is fried/ fried meat,"(Kahn & Valijärvi_2022, p.331)","If the relative element is the object of the relative clause, +toq/+soq is not used. Instead, the verb takes a passive participle suffix (Kahn & Valijärvi_2022, p.331)."
kal_ex_13,kal,kal_V_attr kal_N_V kal_N_VP kal_N_XP_V,piniartuq nannumik tuqutsisuq,piniartuq nannu-mik tuqut-si-suq,hunter polar.bear-INS kill-HALFTR-INTR.PTCP,the hunter who killed a/the bear,"(Fortescue_1984, p.54)","Relativization of the subject of transitive participial inflected forms requires to subsititute the transitive verb to a ‘half-transitive (HALFTR)’ form with instrumental case object (Fortescue_1984, p.54)."
kal_ex_14,kal,kal_V_attr kal_N_V kal_N_VP kal_N_XP_V,niutsivik niqimik ulikkaartuq,niutsivik niqi-mik ulikkaar-tuq,tureen meat-INS be.full-INTR.PTCP,a turren full of meat,"(Fortescue_1984, p.108)",
kal_ex_15,kal,kal_V_N kal_M_N_M,nunaqarvinnit assigi inngitsuniirsut miiqqat 14(fjorten)it missaat,nunaqarvin-nit assigi inngitsu-niir-su-t miiqqa-t 14(fjorten)-it missaat,settlement-ABL.PL various.be.from-INTR-PTCP.PL child-PL 14-PL.REL about,14-year-old children from various settlements (i.e. 'those from various settlements (who are) 14-yearold children'),"(Fortescue_1984, p.109)","If the relative clause precedes the nominal it appears to modify,it is emphasized in relation to the latter: one may then say that the relative clause itself is the head of the NP (Fortescue_1984, p.109)."
,IP?V?/Predicative,,,,,,,
