ID,Language,Value,Comment
eus_A_attr,eus,yes,including both lexical adjectives and perfective participles of verbs
eus_A_N,eus,SPECIAL,"several types of modifiers can (optionally) be used prenominally, see section 3.1.3.2 in Hualde & Ortiz de Urbina(2003) for more discussion."
eus_N_A,eus,yes,
eus_AP_N,eus,unknown,
eus_A_XP_N,eus,/,
eus_XP_A_N,eus,/,
eus_A_N_XP,eus,/,
eus_N_AP,eus,no,adjectives in attributive position cannot dependents (unless turned into prenominal RCs) 
eus_N_A_XP,eus,/,
eus_N_XP_A,eus,/,
eus_XP_N_A,eus,/,
eus_A_lnk,eus,no, 
eus_A_lnk_obl,eus,no, 
eus_A_pred,eus,yes,"predicative adjectives receive an 'article', see chapter 6 section 2 in Laka (1996) for more discussion"
eus_AP,eus,yes,
eus_A_XP,eus,no,
eus_XP_A,eus,yes,
eus_A_attr_agr,eus,no?,
eus_A_pred_agr,eus,no?,
,,,
eus_V_attr,eus,yes,only in prenominal RC
eus_V_N,eus,yes,
eus_N_V,eus,no,"Such order is allowed in the past, and can still be used in eastern dialects (Hualde & Ortiz de Urbina__2003, p. 765)."
eus_VP_N,eus,yes,
eus_V_XP_N,eus,no,
eus_XP_V_N,eus,yes,"the relative clause must end with the finite verb form to which the complementizer is joined (Hualde & Ortiz de Urbina__2003, p. 765)."
eus_V_N_XP,eus,no?,quite unlikely but still need to check
eus_N_VP,eus,/,
eus_N_V_XP,eus,/,
eus_N_XP_V,eus,/,
eus_XP_N_V,eus,/,
eus_V_lnk,eus,yes, 
eus_V_lnk_obl,eus,yes,complementizer -(e)n
eus_V_pred,eus,,
eus_VP,eus,,	
eus_V_XP,eus,,		
eus_XP_V,eus,,
eus_V_attr_agr,eus,yes?,in some situations the relativized NP triggers verb agreement
eus_V_pred_agr,eus,,
,,,
eus_PP_attr,eus,yes,"including modifiers consisting of constituents of adverbial function and the relational suffix -ko. Asides from postpositional phrases, other types of adverbials also include items such as lexical adverbs, case-marked NPs etc.See section 3.1.4.2 in Hualde & Ortiz de Urbina (2003) for more discussion."
eus_PrepP,eus,no,		
eus_PostP,eus,yes,		
eus_Prepp_N,eus,/,		
eus_N_PrepP,eus,/,		
eus_PostP_N,eus,yes, 
eus_N_PostP,eus,no?,needs to check 
eus_P_lnk,eus,yes,=ko
eus_P_lnk_obl,eus,yes,
eus_PP_agr,eus,,
,,,
eus_M_M_N,eus,yes,"See section 4.10.3.1.3 in Hualde & Ortiz de Urbina(2003) for more discussion"
eus_N_M_M,eus,yes,
eus_M_N_M,eus,yes,"See section 4.10.3.1.3 in Hualde & Ortiz de Urbina(2003) for more discussion"
,,,
,QUESTIONS ABOUT DEGREE MODIFIERS?,yes,

