ID,Language,Value,Comment
kor_A,kor,special,"There is arguably no adjective class in Korean but there exists a small list of so-called prenouns that can have adjective-like meaning."
kor_A_N,kor,yes,
kor_N_A,kor,no,
kor_A_XP_N,kor,no,
kor_XP_A_N,kor,yes,
kor_A_N_XP,kor,no,
kor_N_A_XP,kor,no,
kor_N_XP_A,kor,no,
kor_XP_N_A,kor,no,
kor_A_XP,kor,no,"Such prenouns can not be used predicatively. A verbal counterpart needs to be used in such situations."
kor_XP_A,kor,no,
,,,
kor_V,kor,yes,
kor_V_N,kor,yes,
kor_N_V,kor,no,"In Korean, modifiers typically precede what they modify."
kor_V_XP_N,kor,no,
kor_XP_V_N,kor,yes,
kor_V_N_XP,kor,no,
kor_N_V_XP,kor,no,
kor_N_XP_V,kor,no,
kor_XP_N_V,kor,no,
kor_V_XP,kor,no,
kor_XP_V,kor,yes,
,,,
kor_Prep,kor,no,
kor_Post,kor,special,"There is no postposition category in Korean, but there exist some particles that indicate such meaning."
kor_PrepP_N,kor,,
kor_N_PrepP,kor,,
kor_PostP_N,kor,yes,
kor_N_PostP,kor,no,
,,,
kor_M_M_N,kor,yes,
kor_N_M_M,kor,no,
kor_M_N_M,kor,no,
