ID,Language,Value,Comment
lil_A_mod,lil,yes,
lil_A_N,lil,yes,if made clausal
lil_N_A,lil,yes,if made clausal
lil_AP_N,lil,yes,impossible without -min.
lil_A_XP_N,lil,yes,
lil_XP_A_N,lil,no(?),
lil_N_AP,lil,yes,impossible without -min.
lil_N_A_XP,lil,yes,
lil_N_XP_A,lil,no(?),
lil_A_attr,lil,yes(?),
lil_A_attr_obl,lil,, 
lil_A_attr_pos,lil,,
lil_A_pred,lil,yes,
lil_A_dep,lil,yes,have to be converted into transitive verbs with relational applicative transitivizer -min.
lil_A_XP,lil,yes,
lil_XP_A,lil,no(?),
,,,
lil_V_mod,lil,no(?),
lil_V_N,lil,,
lil_N_V,lil,,
lil_VP_N,lil,,
lil_V_XP_N,lil,,
lil_XP_V_N,lil,,
lil_N_VP,lil,,
lil_N_V_XP,lil,,
lil_N_XP_V,lil,,
lil_V_attr,lil,,
lil_V_attr_obl,lil,,
lil_V_attr_pos,lil,,
lil_V_pred,lil,,
lil_V_dep,lil,,	
lil_V_XP,lil,,		
lil_XP_V,lil,,
,,,
lil_C_mod,lil,yes,
lil_C_N,lil,yes(?),
lil_N_C,lil,yes,
lil_C_attr,lil,no,No distinct relative pronoun or complementizer.
lil_C_attr_obl,lil,/,
lil_C_attr_pos,lil,/,
,,,
lil_P_mod,lil,yes,Only proclitic prepositionD
lil_Prep,lil,yes,		
lil_Post,lil,no,		
lil_Prep_N,lil,no,		
lil_N_Prep,lil,yes,		
lil_Post_N,lil,/, 
lil_N_Post,lil,/,
lil_P_attr,lil,no(?),
lil_P_attr_obl,lil,/,
lil_P_attr_pos,lil,/,
