ID,Language,Value,Comment
lkt_A_mod,lkt,,
lkt_A_N,lkt,,
lkt_N_A,lkt,,
lkt_AP_N,lkt,,
lkt_A_XP_N,lkt,,
lkt_XP_A_N,lkt,,
lkt_N_AP,lkt,,
lkt_N_A_XP,lkt,,
lkt_N_XP_A,lkt,,
lkt_A_attr,lkt,,
lkt_A_attr_obl,lkt,,
lkt_A_attr_pos,lkt,,
lkt_A_pred,lkt,,
lkt_A_dep,lkt,,
lkt_A_XP,lkt,,
lkt_XP_A,lkt,,
,,,
lkt_V_mod,lkt,,
lkt_V_N,lkt,,
lkt_N_V,lkt,,
lkt_VP_N,lkt,,
lkt_V_XP_N,lkt,,
lkt_XP_V_N,lkt,,
lkt_N_VP,lkt,,
lkt_N_V_XP,lkt,,
lkt_N_XP_V,lkt,,
lkt_V_attr,lkt,,
lkt_V_attr_obl,lkt,,
lkt_V_attr_pos,lkt,,
lkt_V_pred,lkt,,
lkt_V_dep,lkt,,
lkt_V_XP,lkt,,
lkt_XP_V,lkt,,
,,,
lkt_C_mod,lkt,,
lkt_C_N,lkt,,
lkt_N_C,lkt,,
lkt_C_attr,lkt,,
lkt_C_attr_obl,lkt,,
lkt_C_attr_pos,lkt,,
,,,
lkt_P_mod,lkt,,
lkt_Prep,lkt,,
lkt_Post,lkt,,
lkt_Prep_N,lkt,,
lkt_N_Prep,lkt,,
lkt_Post_N,lkt,,
lkt_N_Post,lkt,,
lkt_P_attr,lkt,,
lkt_P_attr_obl,lkt,,
lkt_P_attr_pos,lkt,,
