ID,Language,Value,Comment
nez_A_mod,nez,yes,
nez_A_N,nez,yes,
nez_N_A,nez,no(?),
nez_AP_N,nez,,
nez_A_XP_N,nez,,
nez_XP_A_N,nez,,
nez_N_AP,nez,/,
nez_N_A_XP,nez,/,
nez_N_XP_A,nez,/,
nez_A_attr,nez,no(?),
nez_A_attr_obl,nez,/,
nez_A_attr_pos,nez,/,
nez_A_pred,nez,yes(?),
nez_A_dep,nez,,
nez_A_XP,nez,,
nez_XP_A,nez,,
,,,
nez_V_mod,nez,no(?),
nez_V_N,nez,,
nez_N_V,nez,,
nez_VP_N,nez,,
nez_V_XP_N,nez,,
nez_XP_V_N,nez,,
nez_N_VP,nez,,
nez_N_V_XP,nez,,
nez_N_XP_V,nez,,
nez_V_attr,nez,,
nez_V_attr_obl,nez,,
nez_V_attr_pos,nez,,
nez_V_pred,nez,,
nez_V_dep,nez,,	
nez_V_XP,nez,,		
nez_XP_V,nez,,
,,,
nez_C_mod,nez,yes,
nez_C_N,nez,no,
nez_N_C,nez,yes,
nez_C_attr,nez,no(?),
nez_C_attr_obl,nez,,
nez_C_attr_pos,nez,,
,,,
nez_P_mod,nez,yes,
