ID,Language,Parameter,Original,Morphemic,Gloss,Translation,Source,Comment

sqi_ex_,sqi,sqi_A sqi_N_A,,mësuesi i lumtur,teacher.DEF ART.3SG.M[?] happy,the happy teacher,"Newmark et. al_1982[p. 179]",
sqi_ex_,sqi,sqi_A,,Mësuesi ishte i lumtur.,teacher.DEF COP.3SG.PST ART.3SG.M[?] happy,The teacher was happy.,"Newmark et. al_1982[p. 179]",
sqi_ex_,sqi,sqi_N_A_XP,,Djali i frikësuar nga qeni u largua me vrap.,boy.DEF ART.3SG.M[?] scared by dog-DEF [u?] run_away.3SG.PST {me vrap}[quickly?],The boy scared by the dog ran away quickly.,"Newmark et. al_1982[p. 179]", 
sqi_ex_,sqi,sqi_A_N,,E kam të mirë librin.,it{?} have.1SG.NPST ART.3SG.M.ACC[] good book.{DEF},I have the good book.,"Newmark et. al_1982[p. 181]",contrastive focus? Substantivized adjectives?

sqi_ex_,sqi,sqi_N_Deg_M,,Barkun e kishte mjaft të madh.,belly.{3SG.M.DEF} e{?/it} have.3SG.PST rather ART.3SG,M[?] big,He had a rather big belly.,"Newmark et. al_1982[p. 243]",

sqi_ex_,sqi,sqi_N_M_M,,Ishin flakë të mëdha dhe të çuditshme.,there.are.3PL.PST flames.PL ART.PL[] large and ART.PL[] strange,There were big and strange flames.,"Newmark et. al_1982[p. 247, adapted]",

sqi_ex_,sqi,sqi_N_V_XP,,Këtë e kuptonte edhe mjeku, që hëpërhë, ishte larg zonave të betejë.,this{?} e{it?} understand.3SG.PST.IMPERFECT also doctor.{DEF?} that currently COP.3SG.PST far areas{DEF?.DAT/GEN?} of {?} battles.{DEF?GEN?}, The doctor, too, who far the present was far from the battle zones, understood this.,"Newmark et. al_1982[p. 279]",
sqi_ex_,sqi,sqi_N_V,,Po unë isha shumë i sigurt se ata i dëgjuan fare mirë ato që tha halla.,yes I COP.1SG.PST very ART.SG.M[] sure that they them{??} hear.3SG.PL very good those that say.3SG.PST aunt.{SG.DEF},But I was quite sure that they heard very well the things that auntie said.,"Newmark et. al_1982[p. 279]",

sqi_ex_,sqi,sqi_Prep,,Unë takoj shokët pas pune.,I meet.1SG.NPST friend.{DEF.PL} after work.INDEF,I meet my friends after work.,"Paola Nelmaja, p.c",
sqi_ex_,sqi,sqi_N_PrepP,,takimi ynë pas drekës,meeting.{SG.DEF} our after lunch.{3SG.DEF.GEN?},our meeting after lunch,"Paola Nelmaja, p.c",

