ID,Language,Value,Comment
sqi_A,sqi,yes, 
sqi_A_N,sqi,no?special?, 
sqi_N_A,sqi,yes,
sqi_A_XP_N,sqi,unknown,
sqi_XP_A_N,sqi,unknown,
sqi_A_N_XP,sqi,unknown,
sqi_N_A_XP,sqi,yes,
sqi_N_XP_A,sqi,unknown,
sqi_XP_N_A,sqi,unknown,
,,,
sqi_V,sqi,yes,relative clauses
sqi_V_N,sqi,no?,
sqi_N_V,sqi,yes,
sqi_V_XP_N,sqi,unknown,
sqi_XP_V_N,sqi,unknown,
sqi_V_N_XP,sqi,unknown,
sqi_N_V_XP,sqi,yes,
sqi_N_XP_V,sqi,unknown,
sqi_XP_N_V,sqi,unknown,
,,,
sqi_Prep,sqi,yes,		
sqi_Post,sqi,unknown,
sqi_Prepp_N,sqi,unknown,		
sqi_N_PrepP,sqi,yes,		
sqi_PostP_N,sqi,unknown, 
sqi_N_PostP,sqi,unknown,
,,,
sqi _M_Deg_N,sqi,no?,
sqi _Deg_M_N,sqi,no?,
sqi _M_N_Deg,sqi,no?,
sqi _N_M_Deg,sqi,unknown,
sqi _N_Deg_M,sqi,yes,
sqi _Deg_N_M,sqi,unknown,
,,,
sqi_M_M_N,sqi,no?,
sqi_N_M_M,sqi,yes,with obligatory linker?
sqi_M_N_M,sqi,no?,
,,,

