ID,Language,Parameter,Original,Morphemic,Gloss,Translation,Source,Comment
vie_ex_01,vie,vie_A vie_N_A,,sách cũ,book old,old books/ an old book,"Nguyen_2004[p. 57, ex. 105a]",
vie_ex_02,vie,vie_A,,Cuốn sách hay lắm.,CL book interesting very,The book is very interesting.,"Nguyen_2004[p. 17, ex. 25b]",
vie_ex_03,vie,vie_A_N,,*cũ sách,old book,old books/ an old book,"Nguyen_2004[p. 57, ex. 105b]",
vie_ex_04,vie,vie_A_N,,đại gia.đình,big family,a big family,"Nguyen_2004[p. 58, ex. 108b]",The alternative word order [gia.đình đại] is ungrammatical.
vie_ex_05,vie,vie_A_N,,*đại đối_với tôigia.đình,big for me family,a family (too) big for me,"Trang PHAN, p.c.",
vie_ex_06,vie,vie_N_XP_A,,quần áo rất đắt tiền,pant shirt very expensive,very expensive clothes,"Nguyen_2004[p. 57, ex. 106a]",
vie_ex_07,vie,vie_A_XP,,Nhạc.sĩ nổi.tiếng vi các ca.khúc.,composer famous for PL song,The composer is famous for his songs.,"Trang PHAN, p.c.",
vie_ex_08,vie,vie_XP_A,,*Nhạc.sĩ vi các ca.khúc nổi tiếng.,composer for PL song famous,The composer is famous for his songs.,"Trang PHAN, p.c.",
vie_ex_09,vie,vie_N_A_XP,,nhạc.sĩ nổi.tiếng vi các ca.khúc,composer famous for PL song,the composer famous for his songs,"Ngo_2021[adapted, p. 117]",
vie_ex_10,vie,vie_N_XP_A,,*nhạc.sĩ vi các ca.khúc nổi.tiếng,composer for PL song famous,the composer famous for his songs,"Trang PHAN, p.c.",
vie_ex_11,vie,vie_XP_N_A,,vi các ca.khúc nhạc.sĩ nổi.tiếng.,for PL song composer famous,"For his songs, the composer is famous.","Trang PHAN, p.c.",This word order alternative is possible as clause-level fronting. 
,,,,,,,,
vie_ex_12,vie,vie_V vie_N_V,,cuộ từ điển (mà) tôi thích,CL dictionary that I like,the dictionary that I like,"Nguyen_2004[p. 59, ex. 114]",
vie_ex_13,vie,vie_N_V,,Tôi đã tìm thấy quyển sách mà anh nói hôm nọ,1SG PFV find see CL book that 2SG talk day other,I found the book you were talking about the other day.,"Do-Hurinville_Dao_2019[p. 59, ex. 2, adapted]",
vie_ex_14,vie,vie_N_V_XP,,Người đàn.ông mà đang đọc sách là  thầy tôi.,person man that PROG read book COP professor 1SG,The man who is reading a book is my professor.,"Do-Hurinville_Dao_2019[p. 61, ex. 6, adapted]",
vie_ex_15,vie,vie_N_XP_V,,*người đàn.ông mà đang sách đọc,person man that PROG book read,the man who is reading a book,"Trang PHAN, p.c.",
vie_ex_16,vie,vie_XP_N_V,,*sách người đàn.ông mà đang đọc.,book person man that PROG read,the man who is reading a book,"Trang PHAN, p.c.",
vie_ex_17,vie,vie_N_V_XP,,Đứa bé mà tôi cho tiền hồi nãy là cháu tôi.,CL child that 1SG give money moment ago COP nephew 1SG,The child to whom I gave some money a moment ago is my nephew,"Do-Hurinville_Dao_2019[p. 62, ex. 8, adapted]",
vie_ex_18,vie,vie_V_XP,,Tôi mua sách.,I buy book,I bought a/the book(s).,"Nguyen_2004[p. 17, ex. 24]",
vie_ex_19,vie,vie_V_XP,,*Tôi sách (thì) mua.,I book TOP buy,I bought a/the book(s).,"Trang PHAN, p.c.",The SOV word order is not available as a clause order.
,,,,,,,,
vie_ex_20,vie,vie_Prep,,Đó là cǎn nhà màu trắng thứ hai trên đường này.,That be CL house color white order two on street this,That’s the second white house on this street.,"Nguyen_2004[p. 58, ex. 109]",
vie_ex_21,vie,vie_N_PrepP,,cǎn nhà gần bờ sông,CL house near bank rive,the house near the riverbank,"Nguyen_2004[p. 51]",
vie_ex_22,vie,vie_N_PrepP,,người trong một nước phải thương nhau cùng,people inside one country must love each other,People from the same cuntry must love one another.,"Nguyen_2004[p. 58, ex. 110]",
,,,,,,,,
vie_ex_23,vie,vie_M_M_N,,nguyên phó chủ.tịch,former vice chairman,former deputy chairman,"Trang PHAN, p.c.",
vie_ex_24,vie,vie_N_M_M,,cuộc sống mới ở Mỹ,CL life new stay America,a new life in America,"Nguyen_2004[p. 59, ex. 112a]",
vie_ex_25,vie,vie_M_N_M,,đại gia.đình hạnh.phúc,big family happy,a happy extended family,"Trang PHAN, p.c.",


